Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Indeks Pembangunan Manusia,Umur Harapan Hidup (Tahun),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Klasifikasi Kemiskinan,Cluster
SUMATERA SELATAN,Musi Rawas Utara,20.11,-0.826521995516283,-0.17306611856264842,-0.769834185216906,-1.1314419730293692,-0.6087773859282071,-0.30641969406334935,0.6303156968184208,0.0352955235731634,-0.3397014788338281,1,0
SUMATERA SELATAN,Kota Palembang,11.34,1.4199040314789964,1.6132666956464483,1.3547407911758431,0.3929000828378266,0.9160966063347074,0.783698195923051,1.9171345475251873,-0.8660875430329779,1.7820549147100115,0,1
SUMATERA SELATAN,Kota Prabumulih,12.2,0.9411575011357405,0.8941655091469316,0.730772070770431,0.23611061423434182,0.9764236593666562,0.5503747177154349,0.30386607687511147,-0.008521708831301994,-0.3431402764534358,0,1
SUMATERA SELATAN,Kota Pagar Alam,9.4,0.5913042674233607,-0.5333534958149678,-0.1920853700267092,-0.814959527144564,-0.9987486930275895,0.5114874713474991,-1.2980146163350819,0.7410659455165146,-0.41020327614889895,0,0
SUMATERA SELATAN,Kota Lubuklinggau,13.23,0.8981930689254481,1.083887389806384,0.7646666679282558,-0.07746832297262367,0.4469460421308932,0.698911248924108,0.4594990352201774,0.6471718760783736,-0.3655342196747504,0,1
BENGKULU,Bengkulu Selatan,18.16,0.5115131790328176,-0.15059420648453853,0.1268319759582784,-0.5013805899375944,-0.13262457449747045,-1.7159230009405013,-0.952585367325301,0.7019434165839564,-0.380740067686457,0,0
BENGKULU,Rejang Lebong,15.85,-0.06543776779110633,-0.0006586619633790273,0.1299133029726255,-0.2632928783545296,-0.3071421207684643,-1.2792383491038444,-0.9905446254582437,1.036832264246655,-0.3278396695342103,0,0
BENGKULU,Bengkulu Utara,11.61,-0.2127443925121084,0.03139144214802362,-0.09964555959627859,-0.4026612948909601,0.22395139967351171,-2.0416833762522266,-0.5881764892490484,-0.2886390159884176,-0.34557686542029026,0,0
BENGKULU,Kaur,18.62,-0.03474888764089716,-0.6213991841210049,-0.42472555960996256,-0.8498016312786686,0.07690420790813678,0.06779036524777181,-0.6109520441288141,-0.02886542387623156,-0.4101853482232868,0,0
BENGKULU,Seluma,18.72,-0.26798437678248405,-0.7621249286101522,-0.4462948487103967,-0.5100911159711216,0.38177127948030615,-2.428643352405294,-0.6147479699421085,0.10415117449446552,-0.3976556505620518,0,0
BENGKULU,Mukomuko,11.93,-0.08385109588123117,0.029549482141621168,-0.1982480240554056,-0.8498016312786686,0.5164298799980486,-0.5830928895335821,-0.5236457504230453,-0.837919322201536,-0.38727149515921916,0,0
BENGKULU,Lebong,12.0,-0.15750440824173276,0.3655229873094282,-0.3800463179019219,-1.8166700210001485,-1.3817177529000488,-1.7701101475187728,-0.7134420410877601,0.3983525920673049,-0.41313242337968786,0,0
BENGKULU,Kepahiang,14.83,-0.08998887191127389,-0.3491574951747227,-0.2013293510697527,-0.4578279597699627,-0.5559912145252526,-1.4335123428913932,-1.2031164710027245,0.9585872063815384,-0.3984623027395086,0,0
BENGKULU,Bengkulu Tengah,9.68,-0.5871487303446546,-0.3145286470543566,-0.30301314254322903,-0.42588936431369784,0.16308571223949236,-1.4073750133654033,-0.37560464370456764,-0.3355860507074893,-0.39726936436066224,0,0
BENGKULU,Kota Bengkulu,17.89,2.06437051463338,1.3937050628832763,1.6351415494814865,0.1577158799326015,1.0017394762639917,0.4509253663482544,0.48986644172653176,-0.6329172705949305,-0.12810490102920824,0,1
LAMPUNG,Lampung Barat,12.82,-0.22501994457219163,-0.13106943041667254,-0.31225712358627034,-0.5826788329171785,-0.037824919732979516,-0.903753298108529,-0.8462994445530605,2.154171690560518,-0.3533505017248049,0,0
LAMPUNG,Tanggamus,11.81,-0.6730775947652394,-0.39004900731685715,-0.5048400619830026,-0.28652094777726733,-0.44395525889449095,-1.3538253626292294,-0.8083401864201175,-0.11024028405595204,-0.23066627997772032,0,0
LAMPUNG,Lampung Selatan,14.19,-0.4521176576837363,-0.1450683264653312,-0.22135797666301435,-0.0687577969390965,0.9263306599740564,0.17743965008850904,0.0799064538907477,-0.5343284976848844,0.17921940270797454,0,0
LAMPUNG,Lampung Timur,15.08,-0.40915322547344446,-0.11007108634368461,-0.041100346323672675,0.3261193832474531,0.4894981598945001,-0.050146365540231046,-0.762789076660586,-0.12432439447167354,0.14702417061640485,0,0
